"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAM22",202.90060600324,-0.683083819405491,0.495621405006638,-1.37823712314512,0.168130089061287,NA
"ADAM23",225.490429471548,-0.147071256534382,0.818194428204686,-0.179750987619277,0.857348062975642,NA
"ADAM28",1497.96321765268,0.165347252709929,0.788792764570057,0.209620650868995,0.833963760655794,0.950485913898278
"ADAM29",1.40984866952665,-3.18902522159925,3.25786047763493,-0.978871023940946,0.327643710951176,NA
"ADAM32",19.5180353131744,-1.2313262975493,0.733500610853222,-1.67869839415266,0.0932108390855681,NA
"ADAM33",131.086161206085,0.281906638487546,0.640076389900375,0.44042655366717,0.659628196396014,NA
"ADAM3B",14.1677887394878,-0.373954171126529,0.861455711094008,-0.434095643351908,0.664218989037777,NA
"ADAM7",1.10980232331559,-3.57259440362813,3.55461749480653,-1.00505733988196,0.314869240255212,NA
"ADAM8",251.082086940771,0.382059321508652,0.439095236382216,0.870105821817852,0.384242576424712,NA
"ADAM9",879.294609302914,-1.33846587150251,0.763154929559826,-1.75385864607402,0.079454731087708,0.470224600736607
"ADAMDEC1",265.105586842246,0.0882239405544669,0.658798436607948,0.133916438856046,0.893468651048077,NA
"ADAMTS1",1691.35581527828,-3.2322658694724,1.45899299740221,-2.2154087615414,0.0267320205020919,0.338596165093905
"ADAMTS10",145.812678387626,0.363446003395097,0.499386350855718,0.727785216340651,0.466745075675157,NA
"ADAMTS12",91.9708932294148,-0.570749592541856,0.598945070298852,-0.952924768638755,0.340628189524615,NA
"ADAMTS13",24.0281793591105,-0.299023609998372,0.60595085761106,-0.493478317989782,0.621674656261316,NA
"ADAMTS14",42.6118283934357,-0.0040143305542889,0.795790579694192,-0.00504445598719142,0.995975123520038,NA
"ADAMTS15",172.562266634582,-1.42509822582945,1.17875160164942,-1.20898942901568,0.22666690661421,NA
"ADAMTS16",1.36721427801575,-1.51116055798085,3.14065213038135,-0.481161394273029,0.630401796476833,NA
